cohort_month,months_since_cohort,retention_pct
2024-01,0,100.0
2024-02,0,100.0
2024-03,0,100.0
2024-04,0,100.0
2024-05,0,100.0
2024-06,0,100.0
2024-07,0,100.0
2024-08,0,100.0
2024-09,0,100.0
2024-10,0,100.0
2024-11,0,100.0
2024-12,0,100.0
2025-01,0,100.0
2025-02,0,100.0
2025-03,0,100.0
2025-04,0,100.0
2025-05,0,100.0
2024-01,1,34.242232086239696
2024-02,1,35.95959595959596
2024-03,1,31.2406576980568
2024-04,1,27.2108843537415
2024-05,1,26.190476190476193
2024-06,1,25.847457627118644
2024-07,1,25.71428571428571
2024-08,1,17.77777777777778
2024-09,1,17.0
2024-10,1,25.333333333333336
2024-11,1,23.636363636363637
2024-12,1,17.857142857142858
2025-01,1,15.0
2025-02,1,16.3265306122449
2025-03,1,18.75
2025-04,1,6.896551724137931
2024-01,2,35.95434369055168
2024-02,2,37.07070707070707
2024-03,2,35.1270553064275
2024-04,2,31.065759637188208
2024-05,2,35.714285714285715
2024-06,2,30.93220338983051
2024-07,2,22.857142857142858
2024-08,2,23.703703703703706
2024-09,2,19.0
2024-10,2,32.0
2024-11,2,21.818181818181817
2024-12,2,12.5
2025-01,2,15.0
2025-02,2,10.204081632653061
2025-03,2,16.666666666666664
2024-01,3,34.30564362714014
2024-02,3,35.55555555555556
2024-03,3,37.07025411061286
2024-04,3,31.519274376417233
2024-05,3,29.931972789115648
2024-06,3,21.1864406779661
2024-07,3,23.42857142857143
2024-08,3,22.22222222222222
2024-09,3,22.0
2024-10,3,14.666666666666666
2024-11,3,16.363636363636363
2024-12,3,16.071428571428573
2025-01,3,7.5
2025-02,3,10.204081632653061
2024-01,4,34.87634749524414
2024-02,4,35.55555555555556
2024-03,4,31.838565022421523
2024-04,4,29.024943310657598
2024-05,4,25.850340136054424
2024-06,4,33.47457627118644
2024-07,4,24.571428571428573
2024-08,4,22.962962962962962
2024-09,4,21.0
2024-10,4,25.333333333333336
2024-11,4,7.2727272727272725
2024-12,4,8.928571428571429
2025-01,4,17.5
2024-01,5,35.82752060875079
2024-02,5,35.35353535353536
2024-03,5,31.2406576980568
2024-04,5,31.519274376417233
2024-05,5,26.53061224489796
2024-06,5,25.423728813559322
2024-07,5,20.57142857142857
2024-08,5,21.48148148148148
2024-09,5,20.0
2024-10,5,21.333333333333336
2024-11,5,9.090909090909092
2024-12,5,21.428571428571427
2024-01,6,34.62270133164236
2024-02,6,37.878787878787875
2024-03,6,31.2406576980568
2024-04,6,34.01360544217687
2024-05,6,27.2108843537415
2024-06,6,25.0
2024-07,6,22.857142857142858
2024-08,6,25.185185185185183
2024-09,6,13.0
2024-10,6,14.666666666666666
2024-11,6,18.181818181818183
2024-01,7,34.74952441344325
2024-02,7,34.54545454545455
2024-03,7,31.838565022421523
2024-04,7,29.024943310657598
2024-05,7,34.69387755102041
2024-06,7,31.35593220338983
2024-07,7,20.57142857142857
2024-08,7,25.185185185185183
2024-09,7,19.0
2024-10,7,13.333333333333334
2024-01,8,33.16423589093215
2024-02,8,31.818181818181817
2024-03,8,30.642750373692078
2024-04,8,29.931972789115648
2024-05,8,30.272108843537417
2024-06,8,25.0
2024-07,8,23.42857142857143
2024-08,8,17.037037037037038
2024-09,8,19.0
2024-01,9,35.89093214965124
2024-02,9,35.15151515151515
2024-03,9,32.13751868460389
2024-04,9,31.746031746031743
2024-05,9,25.510204081632654
2024-06,9,29.66101694915254
2024-07,9,21.714285714285715
2024-08,9,27.40740740740741
2024-01,10,34.495878249841475
2024-02,10,35.15151515151515
2024-03,10,34.67862481315397
2024-04,10,29.25170068027211
2024-05,10,30.272108843537417
2024-06,10,28.8135593220339
2024-07,10,21.142857142857142
2024-01,11,34.93975903614458
2024-02,11,35.75757575757576
2024-03,11,27.50373692077728
2024-04,11,31.065759637188208
2024-05,11,27.2108843537415
2024-06,11,22.88135593220339
2024-01,12,36.2714013950539
2024-02,12,31.91919191919192
2024-03,12,33.78176382660688
2024-04,12,30.612244897959183
2024-05,12,28.91156462585034
2024-01,13,32.84717818642993
2024-02,13,35.05050505050505
2024-03,13,34.52914798206278
2024-04,13,31.746031746031743
2024-01,14,34.05199746353836
2024-02,14,32.22222222222222
2024-03,14,31.2406576980568
2024-01,15,34.559289790741914
2024-02,15,32.72727272727273
2024-01,16,37.159162967660116
